coluna1,coluna2,Coluna3
27,-1.6174250728876538,B
5,0.42031438383664604,C
74,0.8554202777910963,A
10,0.3658041575640174,C
76,1.8922392463147066,C
85,1.6193419688559318,C
21,-0.6454745799005869,B
87,1.2105601740631005,A
34,-0.154054490217573,B
92,0.7916633323552059,C
42,0.8156093384081273,A
20,-1.575368745444468,A
48,-0.08077501853309328,A
87,-0.867219295615916,A
96,0.2190050237706169,B
84,-0.4333559706899226,B
81,1.3283824062757565,C
19,-0.39271962943358885,A
60,-0.5421416211396476,C
65,-0.34896664222308205,B
39,0.20237296040192285,B
7,-1.6096166153271396,C
94,-1.048488394672905,B
31,-0.12567166477541136,C
64,-0.3852210027323284,C
23,0.8803737036683987,A
90,1.2522129085995004,C
2,0.2074860464278299,A
60,-0.1406319263493512,A
82,0.7457361916698774,B
83,-0.7971264517914755,A
52,-1.0771640745454323,B
29,1.4545061650090036,B
74,-0.8580215977941166,B
33,0.4191299614283658,C
22,1.2067603282157937,C
54,-0.9902420027749211,C
11,0.4742206857246882,A
97,2.1719627633483007,A
31,-0.15153214047253027,A
69,-0.8295315490952845,C
56,-0.9219345694264235,A
27,0.22200410188112316,B
27,-0.29349737555331656,C
72,1.0840885427168883,C
15,-0.32482800161562986,A
82,-0.8148124660020691,B
69,-0.745355336308014,A
68,0.33630017769973725,A
76,-1.4108781145822245,A
15,-0.630872677541202,C
75,-1.5880437110232068,B
62,0.1436651207243019,A
80,1.1753326627491374,B
44,1.0416999543874679,B
11,0.6971597781281923,A
6,0.7182785562703484,C
41,-0.6216290338565869,B
95,-0.7517926516892279,B
44,-0.9318815448276233,A
20,2.1776296319354564,C
2,-0.8327475236309968,C
22,-1.2685251539913829,B
36,-0.09018631805041105,C
65,-1.1678269221790878,B
93,0.017519738199802994,A
12,-0.8293603010952674,B
83,-1.2496850275319662,A
91,1.1485208199431813,C
21,1.008809803633187,C
3,0.49954529353932214,B
5,-1.2625837420564738,A
41,-2.3066043213977627,B
84,-1.2330577991508251,C
59,-0.29354740322773026,C
28,1.1644063271792948,B
34,0.48185875460808636,C
31,0.054100247603606134,A
99,0.1597698641670953,B
64,1.448904808378886,A
21,-0.15810035050149202,A
41,-0.2628031574506413,B
31,0.20084304235214812,B
39,2.257918452811852,A
57,-0.0708779713559048,B
66,1.6878006496051494,B
77,1.1035721305973656,A
37,1.11333567272433,A
62,1.8449430668896292,B
37,1.4517588665386785,A
17,-0.8895553793183391,B
24,0.9164617199100589,B
21,-0.918123655985728,A
79,0.9313808683389971,B
56,-0.041984407939860094,C
90,1.0377443349013717,A
55,1.0415059603237382,B
78,-0.02989421655310356,B
43,-1.352050890504606,C
63,0.2630891647745198,B
47,-0.1266791296101731,B
26,0.16505368172139848,B
93,-1.115805857476194,B
31,1.761597739642842,B
72,1.0405600123392407,B
55,-0.4472441002132196,B
40,0.02359312262168876,C
28,0.5848098899678038,A
32,-0.6119194448792861,B
55,2.2083145594773086,A
58,-0.17249962289334522,C
56,-0.5182419369944727,A
7,0.16195331626707618,B
44,-0.3333265258800912,C
11,0.8524873602149211,C
8,-0.5592587564203543,C
48,1.7840096005511026,B
23,-0.16696982980866806,B
46,1.4839014284001708,C
50,1.4106703185557778,B
49,0.5786220279586013,B
83,-0.4758591046088337,B
57,-1.7042822050608062,B
4,0.053437273070796314,A
24,1.9672863507912433,C
64,-0.7987425482101133,A
36,-0.1222252447096274,C
75,-0.6798645287629642,C
87,-0.6199860050624025,B
88,-0.1797260241766889,C
37,0.01781135794866181,B
99,-0.27533326817816084,A
11,-0.1416421835128722,A
71,-0.5589145516616679,A
7,-0.6626352085600462,A
64,0.8799202112841203,A
28,-0.3965779579353735,B
83,-0.384948835995239,C
80,-0.147026797544345,A
28,-0.43852842947827,C
63,1.0123631946764307,A
46,0.06885403021073705,C
29,0.05437133520955391,A
84,1.5680770351996858,A
56,0.0838242242252264,C
44,-0.12270857017279735,C
79,-0.18477698836373593,A
59,-1.1742611267205878,B
4,0.27702313770621745,C
21,-1.0348528040040845,A
40,-1.7080882556261452,C
86,-1.3163807742748337,A
55,0.1276289603418778,A
61,0.9628931818556968,C
83,0.5101185265170838,C
10,0.3294971051321982,A
25,0.4218036232201428,C
80,-0.4383427643138531,B
36,1.3398081324967384,A
72,-0.8548346693321124,C
63,0.7450298969151425,C
9,0.5976290362645087,C
12,-0.6448725841802991,B
14,-0.49068531479522176,A
43,-0.6785785196179233,B
65,0.48929354769486194,C
99,-0.15053551696665188,C
98,-1.3831528774336195,A
35,1.7443501473022334,B
93,-1.7061714011095312,A
74,-0.3423537858181385,A
87,-0.27634140724442097,C
94,-0.644954650780832,B
82,-2.0254338849941367,C
20,0.7260232560089898,B
47,1.4290459830733546,C
41,-0.7464136691692816,A
34,-0.2653189883451462,C
96,-0.7719638239821197,A
87,0.09539001942002119,C
83,-0.21958540627394674,A
64,-1.082284952377027,A
8,-0.5120425128750766,A
38,0.43464288899859804,C
86,-0.05224342976077751,B
4,-0.38650342852438774,B
59,-0.4163775621546704,C
69,1.6177880683464783,A
19,0.4457309430299298,C
17,-0.6383742557233633,B
72,-0.03438996556093851,A
15,1.9720362252251873,C
64,-0.19250471956429901,B
8,0.08200135413949892,C
31,2.2652022522613553,A
1,1.586998397417206,A
61,1.6821092429418902,C
15,-0.7687335473897415,C
19,-0.9048762404517408,A
2,2.9624089279215493,C
43,0.017351277523797434,B
82,-0.6625317346050122,A
49,0.07543647489161462,C
26,0.0809700664868846,C
81,-0.10187439736642398,B
10,1.5902913903797606,A
14,0.1308005522196597,A
16,-1.6814144723254154,C
28,1.172996417493386,C
62,-1.1696737124149135,B
17,1.16769230226166,A
17,0.04616402386985169,A
48,-1.2565796112988346,A
26,0.7701184458643783,A
9,-0.46456247309187715,A
98,-1.7008686167121718,C
29,-1.2855071453033537,C
72,-1.423178192733606,A
65,-0.7152065874336864,B
84,-0.5352903685324506,C
12,1.8875897841087044,A
36,-2.0937635080745536,C
65,0.8362809191029617,A
31,-0.6476632170301673,C
25,1.5491951677079276,A
44,-0.13714107978784493,B
54,-0.5652152086531338,C
66,0.5053200647082812,C
93,0.9189013875462202,B
