coluna1,coluna2,Coluna3
36,0.4427272407537102,B
56,-0.8294549057106759,B
70,0.6614492627777893,A
13,0.3624524605375488,C
99,0.6222503537321002,A
0,0.14241888265534755,A
86,0.6040905483434569,A
9,0.7389783122407151,B
68,0.2980125531795611,C
30,0.7815806384817819,B
67,-0.703615660857045,B
80,0.6289482234190561,A
79,-0.3360087930611483,A
95,-0.009196935769603934,A
79,0.5484139128913038,C
17,-1.2108555982805143,C
1,1.9883111837982252,B
90,0.01926816394662771,B
9,0.8995263772164409,B
93,-0.09301057321178394,A
12,-0.0415775156239696,A
58,1.0044842352374026,B
57,1.2777144809544299,B
53,-0.7429662435549927,A
68,0.49266066818092463,B
36,0.2063064680431077,C
74,-1.88473000536564,A
9,0.19679187889021924,B
23,0.4258060390188231,A
31,0.15759634148379034,A
33,-0.5816447341791899,A
11,-0.3901093993882545,B
59,-0.7191025860287018,C
86,0.18622762548409502,B
71,0.016528094461373048,B
61,0.18976959338134627,B
66,1.2631520167877126,A
28,0.3047094031598784,B
66,-0.2257006036024746,B
81,0.8666863122637704,A
79,-0.4364875295150452,B
40,-0.09785703374806425,A
72,0.9927523807365709,A
30,-1.5197901386840462,C
38,1.020067180792074,A
57,-0.7389700836133131,B
14,-1.8451747957266056,C
34,0.7011424205317215,A
50,0.08573239628891724,C
95,-2.0320266184750144,B
21,1.9453918232529528,B
89,0.6850739660227394,B
41,0.5335549683173366,A
25,-0.6546496055520232,B
98,-0.6145425590548032,B
57,-0.49627167083596807,A
12,-0.16632800029795894,C
89,2.165309204292186,C
85,0.6289450487329076,C
23,-0.24728395223802135,B
48,-0.40463301709810096,A
22,1.044054721466904,A
47,1.5332140886510952,B
30,-0.12026159242145669,B
88,-1.0196466424435313,C
51,-0.2236702929802541,B
72,-0.27123004053834754,A
93,-0.0732090429182698,B
29,-0.9293557788249915,C
68,0.1409344353464277,B
64,-0.7537871100381647,A
72,-0.5117750290455098,C
3,1.2602432018828584,B
3,2.286339383323346,C
24,2.8894109804963857,C
72,-0.588031425078205,B
78,-0.7110624211055981,A
67,1.0919715166105475,A
58,0.036493221076774864,B
80,0.6103233434518771,C
65,-0.5470672800173598,B
47,2.321280866291474,A
34,-0.8151623815683392,C
26,-1.0173247473571536,B
49,0.006175975692971303,B
29,1.146259030941072,A
3,1.0087560847014054,B
60,0.767473694012089,B
88,0.8391098290709889,C
50,-0.7467637108097535,C
93,-0.5074198481116114,A
43,2.126189298165089,C
94,0.48591633364388837,A
75,-0.7755815938783444,A
75,-0.37060094812226274,B
84,-0.08074791741063278,A
34,0.6031416980358736,A
23,-0.8796716557923399,A
22,-1.784911985076506,A
25,0.8247694097713217,A
22,-0.5949114072970353,B
2,-0.7792771925390498,B
68,0.7252076114427681,A
38,1.5332289300341402,B
17,-0.44992781071986493,C
12,-0.834892993438746,C
72,0.35189084599377596,A
51,-0.39724799371828146,C
27,-1.124926729997924,A
31,-0.26355778129392027,C
48,0.743479667219066,A
13,0.3042168818433365,C
17,-1.9013028752655543,C
24,0.39686002367907536,C
99,1.445912605853845,A
82,-0.03758248654938201,A
88,-0.12571443062054344,A
0,-0.7640823366565417,A
49,0.08543485354622625,C
25,0.5197162173149051,C
99,0.4920411923525509,C
85,0.6719128716733261,C
44,1.553943998418184,A
35,0.9717499934544602,A
34,-0.7516006419395673,B
16,0.8651584028122882,B
68,0.7703156387063705,B
74,0.6902367965100912,A
2,-1.188171551919599,B
4,1.0048293219935336,C
36,1.0181901217034564,A
