coluna1,coluna2,Coluna3
95,-2.5760517079496568,B
14,0.005442571654242211,C
34,2.8701001692495236,A
83,-0.48194524145365963,C
25,-1.3638284220165664,A
88,0.21881574487576377,A
27,-1.4029114884206546,B
2,0.8244830389822345,C
11,2.094127609986983,C
98,1.010465423776823,C
30,1.649304797370686,A
93,-0.5083207336773741,B
44,-0.06957766358092597,A
47,-0.9182320840029095,C
12,0.49495130062872306,C
56,0.9098995489809429,B
50,1.3405019656162722,C
35,-0.04892912262154198,B
15,-0.05425260187310786,C
40,-0.5582864604110781,A
33,-0.3864960001817753,A
49,0.22025325882348704,B
28,0.5838953080563759,B
15,0.4697148470755815,A
75,0.27966133006980115,C
55,0.660506913207012,C
74,-0.10428517276395712,A
83,0.8907823258249978,B
40,-1.7740012848563202,A
83,-1.2825110464371687,C
4,0.9141485515445823,C
19,0.8859941545120746,B
84,-0.5140300789109341,B
64,-2.1863015725570834,A
24,-0.5650920437703794,B
88,-0.7009446737175211,B
45,-0.7203898932962877,B
76,0.6102971485816777,C
46,-1.2655342226879374,C
59,0.5043820422728088,B
8,0.25693296597679527,A
10,1.3697344002538452,A
99,0.30791602109182303,C
57,0.5477222936752593,B
47,0.5357848387708978,A
63,-1.2355959608697662,A
36,-1.5401626686693686,C
43,1.1489965691241963,A
48,0.9452218344364282,A
22,0.057373321871028435,B
86,0.8457327892488027,A
52,1.0412401567790937,A
54,-1.935535912825818,B
20,-0.574674252873205,A
36,1.5210628480637693,A
65,-0.41723928861054554,B
13,1.2538224998111343,B
0,-0.8364058679697374,B
17,1.387159153016984,A
87,0.36394512169539833,C
5,0.646139551646753,C
27,0.11254971283170835,B
57,0.5733772746933854,A
92,0.8584727814826879,C
30,-2.544690961905255,A
53,-0.32204995117903223,A
23,-1.8970735933447984,A
32,1.1324717834685782,C
83,-2.1615486153659362,C
91,-0.7031277914318762,B
84,-2.2545606766579507,B
68,1.3918480099559627,A
36,0.49982689416016624,A
72,-2.118019592549899,C
88,-0.3664188104698061,C
27,0.7461196180938305,C
42,0.7966389555678981,C
98,0.4002852481023526,C
3,1.3366834641334733,C
98,0.12039737394190206,A
87,-0.6180633287130309,C
0,0.43393628689278146,A
39,1.077568829105495,C
56,0.9751817230919108,C
33,-0.6319394642446262,B
3,-0.47075154685399534,A
63,-0.22355011239772637,B
4,-1.0268484331411463,C
13,0.9701774234731965,A
7,0.07461106636113603,C
0,0.3141425730323932,C
39,-1.382027902227909,A
16,-0.8596984605591592,B
88,1.8733889890510542,A
83,0.3716114726328344,B
2,-0.6474199982996939,A
76,0.12754836762718627,A
95,-0.7298120944654357,C
77,0.9198150692959934,A
56,-0.287368307581405,A
33,0.4365332775098549,C
98,0.21161797398555787,C
87,-0.8511704971113686,A
20,-2.0058340645464896,A
96,7.315090419038216e-05,B
69,-1.1041445964632552,B
84,-0.8826169899811063,C
9,-0.5017340654232301,B
67,0.3407863418922456,B
