coluna1,coluna2,Coluna3
51,0.10921279951051716,A
37,0.9517154972509386,C
87,0.03069358884097757,B
29,-0.08739508880865376,A
18,-0.30918873804279856,C
63,0.3107538255855874,C
18,0.6115880602925741,C
55,-0.1503507744743224,A
99,-0.9927572485594301,A
39,-0.42915477043199296,B
66,-1.6493181241900021,C
2,-0.8740192717130739,A
54,-0.14191870842033663,C
92,-1.2984226388506572,C
52,-0.9372548829911089,C
63,0.6154031100998294,A
78,-0.05439892588633886,C
58,0.29976064999474994,B
36,1.5618408304693492,C
11,1.6324078107329114,C
47,-0.3596453071076063,A
29,-1.4023117741631344,A
46,1.3479215062675278,A
53,-0.1799963132882174,A
31,0.13548298245752252,B
80,-0.6853931942197088,A
30,-1.7221588755314277,B
18,-0.3966893447882492,A
37,-0.23445652161576103,B
78,-1.646927369630403,B
18,0.6940961273651314,A
14,1.1285174933043187,B
44,-1.6100565916806375,B
23,0.505152958575495,B
92,0.009679940208824178,A
94,-1.7144830058852107,B
9,-0.6618890574115621,A
95,0.018608866957952448,C
46,1.0418613806725394,C
31,0.9909008087116346,C
69,1.531927552211899,B
40,1.6622046971954456,B
68,-1.0447080193633815,B
20,-0.543711509356262,C
25,-0.8518753638779325,A
83,1.7607763078155012,A
98,-0.3193967018006066,A
79,-0.2941784216374615,C
18,-0.23713122521216531,C
81,-0.6397998873194312,C
93,0.07721252638568711,C
31,0.10186647217610788,B
54,-0.5617412815610572,A
68,1.0657895539897195,C
9,-2.008676508555529,B
44,-0.17677365625188776,C
49,-0.32592606056142376,B
61,0.5087465799526226,B
19,-0.5346463572880445,A
18,1.4471157255253626,A
9,1.0821307881928188,C
0,0.08679574262760799,A
59,-0.9947687940922363,B
77,0.387776129179769,B
40,0.05839147647513825,A
61,0.7808615364550648,B
27,0.602580873154988,C
17,0.672671608192736,C
87,0.19172565418379445,A
9,-1.8889907112825661,B
48,-0.03649823862272114,C
54,-0.934636907462927,A
40,-0.22486673435484503,C
17,0.28309984663770427,B
51,0.08249274435103378,A
28,1.0664101858861723,A
5,0.9285443162440544,A
78,-1.663675629902234,A
86,0.703649424359824,B
37,-1.3306965586887387,A
35,-0.23992680238111752,A
5,0.9697740111230572,B
66,-0.4223278953964661,C
91,1.4515032416279792,C
23,0.5094633840453993,A
79,-1.113885918788747,C
23,-0.040068289503828916,A
42,1.801857598773553,C
36,0.05680644243868486,C
16,1.2447434169308589,A
13,0.4477429471303368,C
75,1.5465994466446424,B
22,0.9999661382571381,C
39,0.6034892400292036,C
